uren;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;;;;
28-10-2023;35,6930357;;;;;;;;;;;;;;;;;;;;;;;;;;;
29-10-2023;35,77457829;;;;;;;;;;;;;;;;;;;;;;;;;;;
30-10-2023;35,85630716;;;;;;;;;;;;;;;;;;;;;;;;;;;
31-10-2023;35,93822275;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-11-2023;36,02032548;;;;;;;;;;;;;;;;;;;;;;;;;;;
2-11-2023;36,10261578;;;;;;;;;;;;;;;;;;;;;;;;;;;
3-11-2023;36,18509407;;;;;;;;;;;;;;;;;;;;;;;;;;;
4-11-2023;36,26776079;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-11-2023;36,35061636;;;;;;;;;;;;;;;;;;;;;;;;;;;
6-11-2023;36,43366123;;;;;;;;;;;;;;;;;;;;;;;;;;;
7-11-2023;36,51689581;;;;;;;;;;;;;;;;;;;;;;;;;;;
8-11-2023;36,60032055;;;;;;;;;;;;;;;;;;;;;;;;;;;
9-11-2023;36,68393587;;;;;;;;;;;;;;;;;;;;;;;;;;;
10-11-2023;36,76774222;;;;;;;;;;;;;;;;;;;;;;;;;;;
11-11-2023;36,85174003;;;;;;;;;;;;;;;;;;;;;;;;;;;
12-11-2023;36,93592974;;;;;;;;;;;;;;;;;;;;;;;;;;;
13-11-2023;37,02031178;;;;;;;;;;;;;;;;;;;;;;;;;;;
14-11-2023;37,1048866;;;;;;;;;;;;;;;;;;;;;;;;;;;
15-11-2023;37,18965463;;;;;;;;;;;;;;;;;;;;;;;;;;;
16-11-2023;37,27461632;;;;;;;;;;;;;;;;;;;;;;;;;;;
17-11-2023;37,35977211;;;;;;;;;;;;;;;;;;;;;;;;;;;
18-11-2023;37,44512244;;;;;;;;;;;;;;;;;;;;;;;;;;;
19-11-2023;37,53066776;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-11-2023;37,61640851;;;;;;;;;;;;;;;;;;;;;;;;;;;
21-11-2023;37,70234515;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-11-2023;37,7884781;;;;;;;;;;;;;;;;;;;;;;;;;;;
23-11-2023;37,87480784;;;;;;;;;;;;;;;;;;;;;;;;;;;
24-11-2023;37,96133479;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-11-2023;38,04805943;;;;;;;;;;;;;;;;;;;;;;;;;;;
26-11-2023;38,13498219;;;;;;;;;;;;;;;;;;;;;;;;;;;
27-11-2023;38,22210353;;;;;;;;;;;;;;;;;;;;;;;;;;;
28-11-2023;38,3094239;;;;;;;;;;;;;;;;;;;;;;;;;;;
29-11-2023;38,39694376;;;;;;;;;;;;;;;;;;;;;;;;;;;
